source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
wangduoyu,2026-05-15,抖音视频,2026-05-15 14:33:19 连续两天都是大跌#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,https://www.douyin.com/video/7640002925737079931,,视频评论抓取 89 条；有效线索 16 条；重点股票：安彩高科(600207)、中视传媒(600088)、华天科技(002185)、华电能源(600726),安彩高科(600207);中视传媒(600088);华天科技(002185);华电能源(600726);华盛昌(002980);协鑫能科(002015),医药;电力;风电,连续两天都是大跌#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,video_id=7640002925737079931; creator=王多于-股之子; comment_count=135; digg=80; share=5; 来源备份 20260515_*_douyin_comment_picks.json
wangduoyu,2026-05-15,抖音视频,2026-05-15 12:38:40 多学多看多总结吧#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,https://www.douyin.com/video/7639973382557732346,,视频评论抓取 60 条；有效线索 31 条；重点股票：三维通信(002115)、中国能建(601868)、中国长城(000066)、中岩大地(003001),三维通信(002115);中国能建(601868);中国长城(000066);中岩大地(003001);合力泰(002217);士兰微(600460),光学光电子;消费电子,多学多看多总结吧#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,video_id=7639973382557732346; creator=王多于-股之子; comment_count=203; digg=219; share=6; 来源备份 20260515_*_douyin_comment_picks.json
