source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
wangduoyu,2026-05-12,抖音视频,2026-05-12 15:56:58 我要进步#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,https://www.douyin.com/video/7638911221693658810,,视频评论量备份：100 条。视频标题：我要进步#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,,,我要进步#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,video_id=7638911221693658810; creator=王多于-股之子; 来源备份 20260512_*_douyin_comment_picks.json
wangduoyu,2026-05-12,抖音视频,2026-05-12 15:40:33 熬住了就会出头，是吗#内容过于真实 #股民 #基金 #王多于股之子,https://www.douyin.com/video/7638906996100657317,,视频评论量备份：68 条。视频标题：熬住了就会出头，是吗#内容过于真实 #股民 #基金 #王多于股之子,,,熬住了就会出头，是吗#内容过于真实 #股民 #基金 #王多于股之子,video_id=7638906996100657317; creator=王多于-股之子; 来源备份 20260512_*_douyin_comment_picks.json
wangduoyu,2026-05-12,抖音视频,2026-05-12 11:33:02 听说还有高手#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,https://www.douyin.com/video/7638843211939586553,,视频评论量备份：946 条。视频标题：听说还有高手#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,,,听说还有高手#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,video_id=7638843211939586553; creator=王多于-股之子; 来源备份 20260512_*_douyin_comment_picks.json
