date,source,comment_source,content,mentioned_stocks,mentioned_sectors,value_reason,include_in_logic,note
2026-05-13,yege,同花顺评论备份 17:14,帖子评论量备份：926 条。帖子摘要：那些纯造谣我的，都点点小手。我买卖自由，你们也是，买卖自由，你们想干啥就干啥。我想减就减，我想做t就做t ，盈亏自负，我免费分享的人给那些不是粉丝的人造谣欺负了。就是你们粉丝的无能。不要吵架。我们人这么多和他把我欺负了？？,,交易动作;风险提示,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。；文本包含被套、解套、风险、盈亏自负等风控词。,待确认,post_id=2343840661; media=
2026-05-13,yege,同花顺评论备份 14:59,帖子评论量备份：775 条。帖子摘要：圣阳股份(002580)  利通电子(603629)  浙江世宝(002703)  不符合我预期的我都减一点。没有做t昂。突然觉得没意思了。今天心情不好。就这样吧！emmm了,圣阳股份(002580);利通电子(603629);浙江世宝(002703),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高；THS-01 要信早信，无先手不追高；THS-06 二次回踩看承接。,待确认,post_id=2343791794; media=/media/2026-05-13/yege/daily_01_1459_2343791794.jpg
2026-05-13,yege,同花顺评论备份 14:50,帖子评论量备份：530 条。帖子摘要：润泽科技(300442)  合力泰(002217)  天华新能(300390)  今天下午急得要死。大盘涨疯了，手上的在画心电图。今天都没有跑赢你们。很无语,润泽科技(300442);合力泰(002217);天华新能(300390),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;消费电子;光学光电子;锂电材料,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。,待确认,post_id=2343774343; media=/media/2026-05-13/yege/daily_02_1450_2343774343.jpg
2026-05-13,yege,同花顺评论备份 13:06,帖子评论量备份：867 条。帖子摘要：润泽科技(300442)  良信股份(002706)  啊呀我的粉丝真牛，16000白亿也是我粉丝抬轿子拉的。哈哈哈。菜就多练，别废口舌。aidc快点起飞。,润泽科技(300442);良信股份(002706),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;低压电器,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。,待确认,post_id=2343525166; media=/media/2026-05-13/yege/daily_03_1306_2343525166.jpg
2026-05-13,yege,同花顺评论备份 10:57,"帖子评论量备份：749 条。帖子摘要：润泽科技(300442)  userId:104717706,userName:社区小助手",润泽科技(300442),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。,待确认,post_id=2343412337; media=/media/2026-05-13/yege/daily_01_1057_2343412337.jpg;/media/2026-05-13/yege/daily_04_1057_2343412337.jpg
2026-05-13,yege,同花顺评论备份 09:34,帖子评论量备份：893 条。帖子摘要：良信股份(002706)  合力泰(002217)  天华新能(300390)  一手？？？？,良信股份(002706);合力泰(002217);天华新能(300390),含图片/截图核对;个股相关;低压电器;AIDC;消费电子;光学光电子;锂电材料,动态包含图片，可能有交易截图，需人工点开核对。,待确认,post_id=2343175931; media=/media/2026-05-13/yege/daily_02_0934_2343175931.jpg;/media/2026-05-13/yege/daily_05_0934_2343175931.jpg
2026-05-13,yege,同花顺评论备份 09:26,帖子评论量备份：280 条。帖子摘要：良信股份(002706)  我只认资金。别跟我扯那些没用的。,良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,动态包含图片，可能有交易截图，需人工点开核对。,待确认,post_id=2343162513; media=/media/2026-05-13/yege/daily_03_0926_2343162513.jpg;/media/2026-05-13/yege/daily_06_0926_2343162513.jpg
2026-05-13,yege,同花顺评论备份 09:07,帖子评论量备份：271 条。帖子摘要：今天看好储能电池板块，半导体需要规避。,,,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2343140590; media=
2026-05-13,yege,同花顺评论备份 08:24,帖子评论量备份：0 条。帖子摘要：大唐发电(601991)  合力泰(002217)  你到底是什么意思，这个节点，你这样说。我们这样说肯定不被允许。你们明目张胆的说，这样好吗。辛亏我手上的都是低价股。不过也心里不舒服。,合力泰(002217);大唐发电(601991),含图片/截图核对;个股相关;野哥同花顺逻辑;消费电子;光学光电子;电力,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。,待确认,post_id=2343133276; media=/media/2026-05-13/yege/alert_01_0824_2343133276.jpg;/media/2026-05-13/yege/daily_01_0824_2343133276.jpg;/media/2026-05-13/yege/daily_04_0824_2343133276.jpg;/media/2026-05-13/yege/daily_07_0824_2343133276.jpg
2026-05-13,wangduoyu,抖音评论 07:33,今天大低开高走，问题不大，大问题在明天，003022今天看看,联泓新科(003022),化工新材料,评论聚合提及 6 次，有效评论 6 条；neutral 情绪；单来源线索。,待确认,video_url=https://www.douyin.com/video/7639151315713620465; creator=王多于-股之子; like=4
