date,code,name,exchange,period,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,source
2025-05-23,000727,冠捷科技,SZ,week,qfq,2.430,2.510,2.360,2.360,2.430,-0.070,-2.88,6.17,3205521,320552100,78346.80,783468000.00,7.08,tencent_newfqkline
2025-05-30,000727,冠捷科技,SZ,week,qfq,2.370,2.410,2.330,2.330,2.360,-0.030,-1.27,3.39,2543022,254302200,60204.73,602047300.00,5.61,tencent_newfqkline
2025-06-06,000727,冠捷科技,SZ,week,qfq,2.320,2.400,2.310,2.360,2.330,0.030,1.29,3.86,1705424,170542400,40153.51,401535100.00,3.76,tencent_newfqkline
2025-06-13,000727,冠捷科技,SZ,week,qfq,2.360,2.430,2.310,2.320,2.360,-0.040,-1.69,5.08,3278046,327804600,77537.79,775377900.00,7.24,tencent_newfqkline
2025-06-20,000727,冠捷科技,SZ,week,qfq,2.310,2.410,2.300,2.330,2.320,0.010,0.43,4.74,2599060,259906000,60993.61,609936100.00,5.73,tencent_newfqkline
2025-06-27,000727,冠捷科技,SZ,week,qfq,2.310,2.440,2.300,2.410,2.330,0.080,3.43,6.01,3317065,331706500,79415.90,794159000.00,7.34,tencent_newfqkline
2025-07-04,000727,冠捷科技,SZ,week,qfq,2.430,2.460,2.380,2.400,2.410,-0.010,-0.41,3.32,3308635,330863500,80003.01,800030100.00,7.30,tencent_newfqkline
2025-07-11,000727,冠捷科技,SZ,week,qfq,2.400,2.460,2.380,2.450,2.400,0.050,2.08,3.33,3355052,335505200,81534.58,815345800.00,7.40,tencent_newfqkline
2025-07-18,000727,冠捷科技,SZ,week,qfq,2.410,2.530,2.280,2.400,2.450,-0.050,-2.04,10.20,7527353,752735300,180832.85,1808328500.00,16.61,tencent_newfqkline
2025-07-25,000727,冠捷科技,SZ,week,qfq,2.410,2.480,2.400,2.440,2.400,0.040,1.67,3.33,4205526,420552600,102196.54,1021965400.00,9.28,tencent_newfqkline
2025-08-01,000727,冠捷科技,SZ,week,qfq,2.450,2.460,2.370,2.400,2.440,-0.040,-1.64,3.69,3421166,342116600,82753.47,827534700.00,7.56,tencent_newfqkline
2025-08-08,000727,冠捷科技,SZ,week,qfq,2.380,2.470,2.370,2.420,2.400,0.020,0.83,4.17,3599214,359921400,87377.50,873775000.00,7.95,tencent_newfqkline
2025-08-15,000727,冠捷科技,SZ,week,qfq,2.420,2.460,2.370,2.440,2.420,0.020,0.83,3.72,3591750,359175000,87160.22,871602200.00,7.92,tencent_newfqkline
2025-08-22,000727,冠捷科技,SZ,week,qfq,2.460,2.720,2.460,2.640,2.440,0.200,8.20,10.66,8281506,828150600,215352.14,2153521400.00,18.28,tencent_newfqkline
2025-08-29,000727,冠捷科技,SZ,week,qfq,2.660,2.740,2.560,2.620,2.640,-0.020,-0.76,6.82,6264609,626460900,165824.16,1658241600.00,13.84,tencent_newfqkline
