date,code,name,exchange,period,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,source
2025-08-15,000727,冠捷科技,SZ,week,qfq,2.420,2.460,2.370,2.440,2.420,0.020,0.83,3.72,3591750,359175000,87160.22,871602200.00,7.92,tencent_newfqkline
2025-08-22,000727,冠捷科技,SZ,week,qfq,2.460,2.720,2.460,2.640,2.440,0.200,8.20,10.66,8281506,828150600,215352.14,2153521400.00,18.28,tencent_newfqkline
2025-08-29,000727,冠捷科技,SZ,week,qfq,2.660,2.740,2.560,2.620,2.640,-0.020,-0.76,6.82,6264609,626460900,165824.16,1658241600.00,13.84,tencent_newfqkline
2025-09-05,000727,冠捷科技,SZ,week,qfq,2.640,2.850,2.550,2.640,2.620,0.020,0.76,11.45,8703519,870351900,232376.00,2323760000.00,19.21,tencent_newfqkline
2025-09-12,000727,冠捷科技,SZ,week,qfq,2.630,2.760,2.520,2.690,2.640,0.050,1.89,9.09,5580950,558095000,146300.08,1463000800.00,12.32,tencent_newfqkline
2025-09-19,000727,冠捷科技,SZ,week,qfq,2.720,3.040,2.710,2.790,2.690,0.100,3.72,12.27,13708822,1370882200,397622.81,3976228100.00,30.26,tencent_newfqkline
2025-09-26,000727,冠捷科技,SZ,week,qfq,2.800,3.180,2.750,2.760,2.790,-0.030,-1.08,15.41,14718954,1471895400,432557.54,4325575400.00,32.49,tencent_newfqkline
2025-09-30,000727,冠捷科技,SZ,week,qfq,2.740,2.800,2.670,2.760,2.760,0.000,0.00,4.71,2243728,224372800,61660.49,616604900.00,4.95,tencent_newfqkline
2025-10-10,000727,冠捷科技,SZ,week,qfq,2.770,2.820,2.730,2.730,2.760,-0.030,-1.09,3.26,2257133,225713300,62607.58,626075800.00,4.98,tencent_newfqkline
2025-10-17,000727,冠捷科技,SZ,week,qfq,2.620,2.730,2.530,2.540,2.730,-0.190,-6.96,7.33,4382825,438282500,115276.44,1152764400.00,9.67,tencent_newfqkline
