source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
longge,2026-05-18,抖音视频,2026-05-18 15:16:04 明天一起见证大哥的🎫#股票 #股民 #vlgo十亿流量扶持计划,https://www.douyin.com/video/7641127199756948133,,视频评论抓取 35 条；有效线索 12 条；重点股票：小商品城(600415)、嘉美包装(002969)、多氟多(002407)、格林美(002340),小商品城(600415);嘉美包装(002969);多氟多(002407);格林美(002340);浙江新能(600032);绿色动力(601330),,明天一起见证大哥的🎫#股票 #股民 #vlgo十亿流量扶持计划,video_id=7641127199756948133; creator=阿龙闯大A📈; comment_count=99; digg=80; share=3; 来源备份 20260518_*_douyin_comment_picks.json
longge,2026-05-18,抖音视频,2026-05-18 11:21:36 来个真大哥，急需回血，感激不尽！#股票 #股民 #vlgo十亿流量扶持计划,https://www.douyin.com/video/7641066778256261553,,视频评论抓取 666 条；有效线索 196 条；重点股票：合力泰(002217)、绿色动力(601330)、辽宁能源(600758)、万向钱潮(000559),合力泰(002217);绿色动力(601330);辽宁能源(600758);万向钱潮(000559);再升科技(603601);华盛昌(002980),电力;消费电子;光学光电子;电网设备;工业母机;光伏,来个真大哥，急需回血，感激不尽！#股票 #股民 #vlgo十亿流量扶持计划,video_id=7641066778256261553; creator=阿龙闯大A📈; comment_count=2110; digg=1049; share=48; 来源备份 20260518_*_douyin_comment_picks.json
