source,date,code,name,type,pattern,logic,entry_low,entry_high,stop_loss,take_profit_1,take_profit_2,trend_score,breakout_score,pullback_score,volume_score,risk_reward_score,risk_score,status,risk,raw_text,note
yege,2026-05-13,002580,圣阳股份,short,强势延续,强提醒，仍需结合位置和仓位控制,31.02,34.80,29.09,36.89,38.28,8,7,6,5,7,4,等待买点,中,圣阳股份(002580)  利通电子(603629)  浙江世宝(002703)  不符合我预期的我都减一点。没有做t昂。突然觉得没意思了。今天心情不好。就这样吧！emmm了,由真实备份信号转换，买点需人工复核。
yege,2026-05-13,603629,利通电子,short,追高风险,无先手不追高，只看回踩,148.08,172.71,123.26,183.07,189.98,8,5,6,7,5,8,观察取消,高,圣阳股份(002580)  利通电子(603629)  浙江世宝(002703)  不符合我预期的我都减一点。没有做t昂。突然觉得没意思了。今天心情不好。就这样吧！emmm了,由真实备份信号转换，买点需人工复核。
yege,2026-05-13,002703,浙江世宝,short,追高风险,无先手不追高，只看回踩,18.34,20.05,19.28,21.25,22.06,6,5,6,7,5,8,观察取消,高,圣阳股份(002580)  利通电子(603629)  浙江世宝(002703)  不符合我预期的我都减一点。没有做t昂。突然觉得没意思了。今天心情不好。就这样吧！emmm了,由真实备份信号转换，买点需人工复核。
yege,2026-05-13,300442,润泽科技,mid,追高风险,无先手不追高，只看回踩,94.06,101.62,93.44,107.72,111.78,8,5,6,7,5,8,观察取消,高,润泽科技(300442)  合力泰(002217)  天华新能(300390)  今天下午急得要死。大盘涨疯了，手上的在画心电图。今天都没有跑赢你们。很无语,由真实备份信号转换，买点需人工复核。
yege,2026-05-13,002217,合力泰,mid,回踩观察,回踩观察，按小仓试错思路验证,3.26,3.54,2.97,3.75,3.89,8,5,8,5,7,4,等待买点,中,润泽科技(300442)  合力泰(002217)  天华新能(300390)  今天下午急得要死。大盘涨疯了，手上的在画心电图。今天都没有跑赢你们。很无语,由真实备份信号转换，买点需人工复核。
yege,2026-05-13,300390,天华新能,mid,破位风险,破位风险，等待重新转强,99.81,104.45,94.22,105.80,109.79,6,5,6,5,7,4,等待买点,中,润泽科技(300442)  合力泰(002217)  天华新能(300390)  今天下午急得要死。大盘涨疯了，手上的在画心电图。今天都没有跑赢你们。很无语,由真实备份信号转换，买点需人工复核。
yege,2026-05-13,002706,良信股份,mid,强势延续,强提醒，仍需结合位置和仓位控制,11.79,12.68,11.11,13.44,13.95,8,7,6,7,7,4,等待买点,中,润泽科技(300442)  良信股份(002706)  啊呀我的粉丝真牛，16000白亿也是我粉丝抬轿子拉的。哈哈哈。菜就多练，别废口舌。aidc快点起飞。,由真实备份信号转换，买点需人工复核。
yege,2026-05-13,601991,大唐发电,mid,追高风险,无先手不追高，只看回踩,5.19,7.37,4.59,7.81,8.11,8,5,6,5,5,8,观察取消,高,大唐发电(601991)  合力泰(002217)  你到底是什么意思，这个节点，你这样说。我们这样说肯定不被允许。你们明目张胆的说，这样好吗。辛亏我手上的都是低价股。不过也心里不舒服。,由真实备份信号转换，买点需人工复核。
