source,date,code,name,type,pattern,logic,entry_low,entry_high,stop_loss,take_profit_1,take_profit_2,trend_score,breakout_score,pullback_score,volume_score,risk_reward_score,risk_score,status,risk,raw_text,note
yege,2026-05-26,002733,雄韬股份,short,技术形态观察,强提醒，仍需结合位置和仓位控制,,,,,,6,5,6,5,7,4,等待买点,中,雄韬股份(002733)  昨天早信的人，今天可以赚钱回家买床单了。迟信的人今天就是抬轿子的。,由真实备份信号转换，买点需人工复核。
yege,2026-05-26,002920,德赛西威,short,技术形态观察,观察,,,,,,6,5,6,5,7,4,等待买点,中,德赛西威(002920)  明天五日线就上穿所有均线了。,由真实备份信号转换，买点需人工复核。
yege,2026-05-26,688027,国盾量子,short,技术形态观察,观察,,,,,,6,5,6,5,7,4,等待买点,中,国盾量子(688027)  量子科技的，龙头。半年不看k线那种。,由真实备份信号转换，买点需人工复核。
