date,source,comment_source,content,mentioned_stocks,mentioned_sectors,value_reason,include_in_logic,note,time,platform,parent_type,parent_title,commenter,parent_id,parent_url,parent_cover,comment_id,comment_time,include_status,sentiment,action_note,value_score,is_selected
2026-05-15,yege,同花顺评论备份 14:59,帖子评论量备份：224 条。帖子摘要：润泽科技(300442)  天华新能(300390)  合力泰(002217)  黄毛走了，带走了我的账户余额。,润泽科技(300442);天华新能(300390);合力泰(002217),减仓/退出风险;含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;锂电材料;消费电子;光学光电子,文本包含减仓、走了、卖飞、止盈止损等退出类词。；动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-08 退出词优先风险；THS-06 二次回踩看承接；THS-08 退出词优先风险。,否,post_id=2345513390; media=/media/2026-05-15/yege/alert_01_1459_2345513390.jpg;/media/2026-05-15/yege/daily_01_1459_2345513390.jpg,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 11:03,帖子评论量备份：408 条。帖子摘要：良信股份(002706)  合力泰(002217)  完了大盘红了，不会把我洗出去了吧！,良信股份(002706);合力泰(002217),个股相关;野哥同花顺逻辑;低压电器;AIDC;消费电子;光学光电子,同花顺选股逻辑命中：THS-06 二次回踩看承接。,待确认,post_id=2345142303; media=,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 10:35,帖子评论量备份：386 条。帖子摘要：工业富联(601138)  不会逼着我买这个吧！这也太大了太大了。,工业富联(601138),交易动作;个股相关,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。,待确认,post_id=2345069036; media=,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 10:31,帖子评论量备份：542 条。帖子摘要：算拉，算啦，拿了快一个月，也不给我走。想绑架我没门。交易唯有自渡呀，兄弟们。跟就要盈亏自负。我走个买都实时发的。没有毛病啊。又不是今天进明天就出。好多天了。懒得喷。,,交易动作;风险提示,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。；文本包含被套、解套、风险、盈亏自负等风控词。,待确认,post_id=2345057879; media=,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 10:09,帖子评论量备份：15 条。帖子摘要：我看这个评论有点搞笑，弱了我不能卖，你能卖？我死扛是吧。我想卖就卖，手在我身上。你的手也在你身上。盈亏自负。做不到的都是自己带幻想。,,风险提示,文本包含被套、解套、风险、盈亏自负等风控词。,待确认,post_id=2344996326; media=,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 09:58,帖子评论量备份：149 条。帖子摘要：润泽科技(300442)  弱了就是弱了。我也没有卖在最高点。合力泰早上最高点我也没卖到，但是我有去弱留强的概念。弱的不割去强的，就是死扛，你要想到底是谁在做交易。,润泽科技(300442),含图片/截图核对;个股相关;AIDC;数据中心,动态包含图片，可能有交易截图，需人工点开核对。,待确认,post_id=2344955247; media=/media/2026-05-15/yege/alert_01_0958_2344955247.jpg;/media/2026-05-15/yege/daily_01_0958_2344955247.jpg;/media/2026-05-15/yege/daily_02_0958_2344955247.jpg,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 09:49,帖子评论量备份：181 条。帖子摘要：合力泰(002217)  润泽科技(300442)  天华新能(300390)  早上红9个,润泽科技(300442);合力泰(002217);天华新能(300390),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;消费电子;光学光电子;锂电材料,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-06 二次回踩看承接。,待确认,post_id=2344919853; media=/media/2026-05-15/yege/alert_02_0949_2344919853.jpg;/media/2026-05-15/yege/daily_02_0949_2344919853.jpg;/media/2026-05-15/yege/daily_03_0949_2344919853.jpg,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 09:44,帖子评论量备份：441 条。帖子摘要：合力泰(002217)  来气,合力泰(002217),含图片/截图核对;个股相关;野哥同花顺逻辑;消费电子;光学光电子,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-06 二次回踩看承接。,待确认,post_id=2344900072; media=/media/2026-05-15/yege/alert_03_0944_2344900072.jpg;/media/2026-05-15/yege/daily_03_0944_2344900072.jpg;/media/2026-05-15/yege/daily_04_0944_2344900072.jpg,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 09:42,帖子评论量备份：119 条。帖子摘要：润泽科技(300442)  去弱留强。,润泽科技(300442),含图片/截图核对;个股相关;AIDC;数据中心,动态包含图片，可能有交易截图，需人工点开核对。,待确认,post_id=2344892901; media=/media/2026-05-15/yege/alert_04_0942_2344892901.jpg;/media/2026-05-15/yege/daily_04_0942_2344892901.jpg;/media/2026-05-15/yege/daily_05_0942_2344892901.jpg,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 09:40,帖子评论量备份：195 条。帖子摘要：良信股份(002706),良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,动态包含图片，可能有交易截图，需人工点开核对。,待确认,post_id=2344881561; media=/media/2026-05-15/yege/alert_05_0940_2344881561.jpg;/media/2026-05-15/yege/daily_05_0940_2344881561.jpg;/media/2026-05-15/yege/daily_06_0940_2344881561.jpg,,,,,,,,,,,,,,,
2026-05-15,yege,同花顺评论备份 09:26,帖子评论量备份：316 条。帖子摘要：润泽科技(300442)  好运来，那个好运来。,润泽科技(300442),含图片/截图核对;个股相关;AIDC;数据中心,动态包含图片，可能有交易截图，需人工点开核对。,待确认,post_id=2344841114; media=/media/2026-05-15/yege/alert_06_0926_2344841114.jpg;/media/2026-05-15/yege/daily_06_0926_2344841114.jpg;/media/2026-05-15/yege/daily_07_0926_2344841114.jpg,,,,,,,,,,,,,,,
2026-05-15,wangduoyu,抖音评论 15:02,我说一个，维科技术，大概率是借大盘下跌洗盘,维科技术(600152),,维科技术(600152) 被提及 1 次，有效评论 1 条，来源 1 个，单视频线索，情绪 谨慎，当前判断：偏风险观察。,否,video_id=7640002925737079931; video_url=https://www.douyin.com/video/7640002925737079931; creator=王多于-股之子; like=1; reply=2; source_type=comment; yeren_signal_id=; parent_comment_text=,15:02,抖音评论,video,连续两天都是大跌#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,鹅无吴呜呜呜,7640002925737079931,https://www.douyin.com/video/7640002925737079931,,7640010505985409826,15:02,未纳入,谨慎,自动映射到抖音视频评论池。,5.9,false
2026-05-15,wangduoyu,抖音评论 14:50,我昨天清场了重仓的粤传媒，加仓了华电能源和节能风电，有我惨吗[流泪],节能风电(601016);华电能源(600726),电力;风电,节能风电(601016) 被提及 3 次，有效评论 3 条，来源 2 个，跨来源共振，情绪 看多，当前判断：保留观察。；华电能源(600726) 被提及 2 次，有效评论 2 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。,待确认,video_id=7640002925737079931; video_url=https://www.douyin.com/video/7640002925737079931; creator=王多于-股之子; like=0; reply=4; source_type=comment; yeren_signal_id=; parent_comment_text=,14:50,抖音评论,video,连续两天都是大跌#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,pop,7640002925737079931,https://www.douyin.com/video/7640002925737079931,,7640007260383249193,14:50,待确认,看多,自动映射到抖音视频评论池。,8.0,false
2026-05-15,wangduoyu,抖音评论 14:57,真算电协同:协鑫能科,协鑫能科(002015),,协鑫能科(002015) 被提及 2 次，有效评论 2 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。,待确认,video_id=7640002925737079931; video_url=https://www.douyin.com/video/7640002925737079931; creator=王多于-股之子; like=1; reply=0; source_type=comment; yeren_signal_id=; parent_comment_text=,14:57,抖音评论,video,连续两天都是大跌#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,咬字,7640002925737079931,https://www.douyin.com/video/7640002925737079931,,7640009094086017829,14:57,待确认,中性,自动映射到抖音视频评论池。,7.6,false
2026-05-15,wangduoyu,抖音评论 14:41,昨天吃了两涨停，今天这两家涨停给我干了俩跌停[流泪][流泪][流泪][流泪],,,评论热度较高，但暂未自动识别到明确股票线索，保留人工复核。,待确认,video_id=7640002925737079931; video_url=https://www.douyin.com/video/7640002925737079931; creator=王多于-股之子; like=0; reply=7; source_type=comment; yeren_signal_id=; parent_comment_text=,14:41,抖音评论,video,连续两天都是大跌#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,じօνε͇ؓ财神偏爱我,7640002925737079931,https://www.douyin.com/video/7640002925737079931,,7640004996247388974,14:41,待确认,中性,自动映射到抖音视频评论池。,6.2,false
2026-05-15,wangduoyu,抖音评论 14:52,华天科技，还有小商品城都可以拿着[玫瑰],华天科技(002185);小商品城(600415),,华天科技(002185) 被提及 2 次，有效评论 2 条，来源 2 个，跨来源共振，情绪 看多，当前判断：已进入推荐候选。；小商品城(600415) 被提及 2 次，有效评论 2 条，来源 1 个，单视频线索，情绪 看多，当前判断：保留观察。,是,video_id=7640002925737079931; video_url=https://www.douyin.com/video/7640002925737079931; creator=王多于-股之子; like=0; reply=0; source_type=comment; yeren_signal_id=; parent_comment_text=,14:52,抖音评论,video,连续两天都是大跌#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,诸葛文奕,7640002925737079931,https://www.douyin.com/video/7640002925737079931,,7640007913674752795,14:52,已纳入,看多,自动映射到抖音视频评论池。,8.4,true
2026-05-15,wangduoyu,抖音评论 14:43,有没有义夫义母，能不能提前给点定心丸，重仓美诺华和平潭下星期能回本吗？我以后再也不再评论区听劝了，回本就走，发誓十年不碰！,美诺华(603538),医药,美诺华(603538) 被提及 2 次，有效评论 2 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。,待确认,video_id=7640002925737079931; video_url=https://www.douyin.com/video/7640002925737079931; creator=王多于-股之子; like=3; reply=2; source_type=comment; yeren_signal_id=; parent_comment_text=,14:43,抖音评论,video,连续两天都是大跌#内容过于真实 #股民 #基金 #王多于股之子 #vlog十亿流量扶持计划,跟着米哆不踩坑,7640002925737079931,https://www.douyin.com/video/7640002925737079931,,7640005520867361579,14:43,待确认,中性,自动映射到抖音视频评论池。,7.6,false
