date,code,name,exchange,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,ma5,ma10,ma20,ma60,vol_ma5_lot,vol_ma10_lot,vol_ma20_lot,high_20,low_20,high_60,low_60,bar_status,quote_time,source
2025-04-09,605006,山东玻纤,SH,qfq,5.200,5.500,4.880,5.450,5.300,0.150,2.83,11.70,122122,12212200,6371.06,63710600.00,2.04,5.750,6.033,6.269,6.346,82585,94846,102758,6.770,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-10,605006,山东玻纤,SH,qfq,5.560,5.710,5.530,5.640,5.450,0.190,3.49,3.30,99174,9917400,5585.94,55859400.00,1.65,5.642,5.948,6.226,6.338,94738,92881,104258,6.770,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-11,605006,山东玻纤,SH,qfq,5.640,5.830,5.600,5.700,5.640,0.060,1.06,4.08,80672,8067200,4625.77,46257700.00,1.34,5.538,5.862,6.192,6.328,100292,88424,102528,6.770,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-14,605006,山东玻纤,SH,qfq,5.800,5.930,5.740,5.870,5.700,0.170,2.98,3.33,86915,8691500,5078.90,50789000.00,1.45,5.592,5.826,6.161,6.319,106323,84668,101800,6.770,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-15,605006,山东玻纤,SH,qfq,6.100,6.150,5.760,5.770,5.870,-0.100,-1.70,6.64,132123,13212300,7718.90,77189000.00,2.20,5.686,5.790,6.121,6.313,104201,88459,102968,6.770,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-16,605006,山东玻纤,SH,qfq,5.830,5.830,5.630,5.800,5.770,0.030,0.52,3.47,94532,9453200,5432.53,54325300.00,1.58,5.756,5.753,6.081,6.308,98683,90634,103544,6.770,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-17,605006,山东玻纤,SH,qfq,5.790,5.960,5.760,5.910,5.800,0.110,1.90,3.45,77632,7763200,4581.02,45810200.00,1.29,5.810,5.726,6.046,6.299,94375,94556,103552,6.770,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-18,605006,山东玻纤,SH,qfq,5.960,6.050,5.900,6.020,5.910,0.110,1.86,2.54,77439,7743900,4623.05,46230500.00,1.29,5.874,5.706,6.014,6.293,93728,97010,100249,6.770,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-21,605006,山东玻纤,SH,qfq,6.020,6.280,5.930,6.090,6.020,0.070,1.16,5.81,141354,14135400,8651.61,86516100.00,2.36,5.918,5.755,5.988,6.288,104616,105470,99991,6.680,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-22,605006,山东玻纤,SH,qfq,6.030,6.150,5.960,6.120,6.090,0.030,0.49,3.12,110109,11010900,6709.51,67095100.00,1.84,5.988,5.837,5.978,6.283,100213,102207,97265,6.680,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-23,605006,山东玻纤,SH,qfq,6.130,6.240,6.110,6.220,6.120,0.100,1.63,2.12,88522,8852200,5478.31,54783100.00,1.48,6.072,5.914,5.973,6.280,99011,98847,96847,6.680,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-24,605006,山东玻纤,SH,qfq,6.190,6.280,6.060,6.110,6.220,-0.110,-1.77,3.54,70177,7017700,4310.19,43101900.00,1.17,6.112,5.961,5.955,6.279,97520,95948,94414,6.680,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-25,605006,山东玻纤,SH,qfq,6.090,6.140,6.050,6.050,6.110,-0.060,-0.98,1.47,50443,5044300,3068.17,30681700.00,0.84,6.118,5.996,5.929,6.280,92121,92925,90674,6.600,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-28,605006,山东玻纤,SH,qfq,6.020,6.090,5.930,5.970,6.050,-0.080,-1.32,2.64,52362,5236200,3133.46,31334600.00,0.87,6.094,6.006,5.916,6.281,74323,89469,87069,6.290,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-29,605006,山东玻纤,SH,qfq,5.910,6.090,5.910,6.060,5.970,0.090,1.51,3.02,46477,4647700,2811.07,28110700.00,0.77,6.082,6.035,5.912,6.281,61596,80905,84682,6.290,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-04-30,605006,山东玻纤,SH,qfq,6.040,6.160,6.010,6.020,6.060,-0.040,-0.66,2.48,54255,5425500,3293.73,32937300.00,0.90,6.042,6.057,5.905,6.282,54743,76877,83756,6.280,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-05-06,605006,山东玻纤,SH,qfq,6.050,6.290,6.040,6.260,6.020,0.240,3.99,4.15,84569,8456900,5216.15,52161500.00,1.41,6.072,6.092,5.909,6.286,57621,77571,86064,6.290,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-05-07,605006,山东玻纤,SH,qfq,6.280,6.310,6.110,6.200,6.260,-0.060,-0.96,3.19,85624,8562400,5308.32,53083200.00,1.43,6.102,6.110,5.908,6.286,64657,78389,87700,6.310,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-05-08,605006,山东玻纤,SH,qfq,6.160,6.280,6.160,6.260,6.200,0.060,0.97,1.94,58906,5890600,3676.39,36763900.00,0.98,6.160,6.127,5.941,6.286,65966,70144,87807,6.310,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-05-09,605006,山东玻纤,SH,qfq,6.260,6.310,6.190,6.190,6.260,-0.070,-1.12,1.92,53081,5308100,3306.70,33067000.00,0.88,6.186,6.134,5.986,6.283,67287,64442,83324,6.310,4.880,6.950,4.880,closed,,tencent_newfqkline
2025-05-12,605006,山东玻纤,SH,qfq,6.200,6.260,6.130,6.160,6.190,-0.030,-0.48,2.10,46149,4614900,2846.08,28460800.00,0.77,6.214,6.128,6.021,6.279,65666,60204,79526,6.310,5.530,6.950,4.880,closed,,tencent_newfqkline
2025-05-13,605006,山东玻纤,SH,qfq,6.220,6.250,6.120,6.140,6.160,-0.020,-0.32,2.11,56324,5632400,3478.99,34789900.00,0.94,6.190,6.131,6.046,6.272,60017,58819,77383,6.310,5.600,6.950,4.880,closed,,tencent_newfqkline
2025-05-14,605006,山东玻纤,SH,qfq,6.160,6.210,6.100,6.180,6.140,0.040,0.65,1.79,54079,5407900,3333.15,33331500.00,0.90,6.186,6.144,6.070,6.269,53708,59183,76054,6.310,5.630,6.950,4.880,closed,,tencent_newfqkline
2025-05-15,605006,山东玻纤,SH,qfq,6.180,6.200,6.090,6.130,6.180,-0.050,-0.81,1.78,44041,4404100,2698.49,26984900.00,0.73,6.160,6.160,6.083,6.265,50735,58350,73910,6.310,5.630,6.950,4.880,closed,,tencent_newfqkline
2025-05-16,605006,山东玻纤,SH,qfq,6.140,6.200,6.100,6.170,6.130,0.040,0.65,1.63,50289,5028900,3102.53,31025300.00,0.84,6.156,6.171,6.103,6.259,50176,58732,69818,6.310,5.630,6.950,4.880,closed,,tencent_newfqkline
2025-05-19,605006,山东玻纤,SH,qfq,6.200,6.300,6.160,6.300,6.170,0.130,2.11,2.27,65865,6586500,4119.09,41190900.00,1.10,6.184,6.199,6.128,6.258,54120,59893,68385,6.310,5.760,6.950,4.880,closed,,tencent_newfqkline
2025-05-20,605006,山东玻纤,SH,qfq,6.300,6.340,6.240,6.340,6.300,0.040,0.63,1.59,49671,4967100,3127.91,31279100.00,0.83,6.224,6.207,6.149,6.253,52789,56403,66987,6.340,5.900,6.950,4.880,closed,,tencent_newfqkline
2025-05-21,605006,山东玻纤,SH,qfq,6.330,6.330,6.240,6.270,6.340,-0.070,-1.10,1.42,43720,4372000,2745.79,27457900.00,0.73,6.242,6.214,6.162,6.246,50717,52212,65301,6.340,5.910,6.950,4.880,closed,,tencent_newfqkline
2025-05-22,605006,山东玻纤,SH,qfq,6.350,6.360,6.120,6.140,6.270,-0.130,-2.07,3.83,74329,7432900,4625.10,46251000.00,1.24,6.244,6.202,6.164,6.238,56775,53755,61950,6.360,5.910,6.950,4.880,closed,,tencent_newfqkline
2025-05-23,605006,山东玻纤,SH,qfq,6.130,6.270,6.060,6.060,6.140,-0.080,-1.30,3.42,68647,6864700,4221.55,42215500.00,1.14,6.222,6.189,6.161,6.226,60446,55311,59876,6.360,5.910,6.780,4.880,closed,,tencent_newfqkline
2025-05-26,605006,山东玻纤,SH,qfq,6.110,6.180,6.060,6.160,6.060,0.100,1.65,1.98,47655,4765500,2926.51,29265100.00,0.79,6.194,6.189,6.159,6.220,56804,55462,57833,6.360,5.910,6.770,4.880,closed,,tencent_newfqkline
2025-05-27,605006,山东玻纤,SH,qfq,6.170,6.230,6.090,6.210,6.160,0.050,0.81,2.27,43032,4303200,2649.64,26496400.00,0.72,6.168,6.196,6.163,6.213,55477,54133,56476,6.360,5.910,6.770,4.880,closed,,tencent_newfqkline
2025-05-28,605006,山东玻纤,SH,qfq,6.210,6.250,6.090,6.120,6.210,-0.090,-1.45,2.58,41493,4149300,2552.40,25524000.00,0.69,6.138,6.190,6.167,6.205,55031,52874,56028,6.360,5.910,6.770,4.880,closed,,tencent_newfqkline
2025-05-29,605006,山东玻纤,SH,qfq,6.110,6.220,6.100,6.220,6.120,0.100,1.63,1.96,46651,4665100,2885.31,28853100.00,0.78,6.154,6.199,6.179,6.202,49496,53135,55743,6.360,5.910,6.770,4.880,closed,,tencent_newfqkline
2025-05-30,605006,山东玻纤,SH,qfq,6.200,6.240,6.080,6.100,6.220,-0.120,-1.93,2.57,47544,4754400,2912.66,29126600.00,0.79,6.162,6.192,6.181,6.195,45275,52861,55796,6.360,6.010,6.770,4.880,closed,,tencent_newfqkline
2025-06-03,605006,山东玻纤,SH,qfq,6.080,6.710,6.060,6.710,6.100,0.610,10.00,10.66,302629,30262900,19856.85,198568500.00,5.04,6.272,6.233,6.216,6.196,96270,76537,68215,6.710,6.040,6.770,4.880,closed,,tencent_newfqkline
2025-06-04,605006,山东玻纤,SH,qfq,7.050,7.380,6.980,7.380,6.710,0.670,9.99,5.96,452784,45278400,32958.71,329587100.00,7.55,6.506,6.337,6.272,6.210,178220,116848,86626,7.380,6.060,7.380,4.880,closed,,tencent_newfqkline
2025-06-05,605006,山东玻纤,SH,qfq,7.770,7.980,6.950,7.020,7.380,-0.360,-4.88,13.96,929474,92947400,67966.58,679665800.00,15.49,6.686,6.412,6.313,6.217,355816,205424,128818,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-06,605006,山东玻纤,SH,qfq,7.150,7.560,7.140,7.220,7.020,0.200,2.85,5.98,708096,70809600,51459.44,514594400.00,11.80,6.886,6.520,6.361,6.229,488105,268800,161278,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-09,605006,山东玻纤,SH,qfq,7.080,7.360,6.990,7.230,7.220,0.010,0.14,5.12,541400,54140000,38711.24,387112400.00,9.02,7.112,6.637,6.413,6.241,586877,316076,185694,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-10,605006,山东玻纤,SH,qfq,7.280,7.280,6.860,6.900,7.230,-0.330,-4.56,5.81,399727,39972700,27903.62,279036200.00,6.66,7.150,6.711,6.450,6.247,606296,351283,203372,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-11,605006,山东玻纤,SH,qfq,6.930,6.970,6.780,6.800,6.900,-0.100,-1.45,2.75,243809,24380900,16653.03,166530300.00,4.06,7.034,6.770,6.483,6.251,564501,371361,212747,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-12,605006,山东玻纤,SH,qfq,6.800,6.880,6.720,6.860,6.800,0.060,0.88,2.35,209726,20972600,14278.44,142784400.00,3.50,7.002,6.844,6.517,6.260,420552,388184,220529,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-13,605006,山东玻纤,SH,qfq,6.840,6.840,6.550,6.570,6.860,-0.290,-4.23,4.23,226856,22685600,15023.64,150236400.00,3.78,6.872,6.879,6.539,6.261,324304,406204,229670,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-16,605006,山东玻纤,SH,qfq,6.500,6.730,6.500,6.690,6.570,0.120,1.83,3.50,152306,15230600,10138.51,101385100.00,2.54,6.764,6.938,6.565,6.263,246485,416681,234771,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-17,605006,山东玻纤,SH,qfq,6.750,6.760,6.610,6.640,6.690,-0.050,-0.75,2.24,117197,11719700,7799.44,77994400.00,1.95,6.712,6.931,6.582,6.264,189979,398138,237337,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-18,605006,山东玻纤,SH,qfq,6.630,6.650,6.470,6.520,6.640,-0.120,-1.81,2.71,109789,10978900,7169.19,71691900.00,1.83,6.656,6.845,6.591,6.262,163175,363838,240343,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-19,605006,山东玻纤,SH,qfq,6.540,6.620,6.400,6.430,6.520,-0.090,-1.38,3.37,111022,11102200,7223.88,72238800.00,1.85,6.570,6.786,6.599,6.258,143434,281993,243708,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
2025-06-20,605006,山东玻纤,SH,qfq,6.390,6.550,6.350,6.460,6.430,0.030,0.47,3.11,113521,11352100,7324.47,73244700.00,1.89,6.548,6.710,6.615,6.256,120767,222535,245668,7.980,6.060,7.980,4.880,closed,,tencent_newfqkline
