date,code,name,exchange,period,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,source
2024-05-24,605006,山东玻纤,SH,week,qfq,5.830,5.950,5.500,5.510,5.820,-0.310,-5.33,7.73,117579,11757900,6781.89,67818900.00,1.97,tencent_newfqkline
2024-05-31,605006,山东玻纤,SH,week,qfq,5.510,5.520,5.290,5.320,5.510,-0.190,-3.45,4.17,86714,8671400,4712.39,47123900.00,1.44,tencent_newfqkline
2024-06-07,605006,山东玻纤,SH,week,qfq,5.320,5.340,4.660,4.820,5.320,-0.500,-9.40,12.78,115715,11571500,5734.32,57343200.00,1.92,tencent_newfqkline
2024-06-14,605006,山东玻纤,SH,week,qfq,4.830,4.880,4.670,4.770,4.820,-0.050,-1.04,4.36,54058,5405800,2587.77,25877700.00,0.90,tencent_newfqkline
2024-06-21,605006,山东玻纤,SH,week,qfq,4.760,4.760,4.600,4.740,4.770,-0.030,-0.63,3.35,60021,6002100,2824.23,28242300.00,0.99,tencent_newfqkline
2024-06-28,605006,山东玻纤,SH,week,qfq,4.700,5.160,4.360,4.410,4.740,-0.330,-6.96,16.88,238845,23884500,11342.08,113420800.00,3.98,tencent_newfqkline
2024-07-05,605006,山东玻纤,SH,week,qfq,4.350,4.540,4.270,4.420,4.410,0.010,0.23,6.12,110193,11019300,4866.70,48667000.00,1.84,tencent_newfqkline
2024-07-12,605006,山东玻纤,SH,week,qfq,4.430,4.450,4.180,4.310,4.420,-0.110,-2.49,6.11,93644,9364400,4016.10,40161000.00,1.57,tencent_newfqkline
2024-07-19,605006,山东玻纤,SH,week,qfq,4.270,4.300,3.970,4.100,4.310,-0.210,-4.87,7.66,83446,8344600,3416.70,34167000.00,1.38,tencent_newfqkline
2024-07-26,605006,山东玻纤,SH,week,qfq,4.110,4.140,3.960,4.130,4.100,0.030,0.73,4.39,56079,5607900,2277.92,22779200.00,0.93,tencent_newfqkline
2024-08-02,605006,山东玻纤,SH,week,qfq,4.090,4.330,4.040,4.240,4.130,0.110,2.66,7.02,84962,8496200,3562.55,35625500.00,1.42,tencent_newfqkline
2024-08-09,605006,山东玻纤,SH,week,qfq,4.240,4.300,4.180,4.220,4.240,-0.020,-0.47,2.83,48550,4855000,2060.98,20609800.00,0.81,tencent_newfqkline
2024-08-16,605006,山东玻纤,SH,week,qfq,4.220,4.290,4.130,4.140,4.220,-0.080,-1.90,3.79,66640,6664000,2807.04,28070400.00,1.11,tencent_newfqkline
2024-08-23,605006,山东玻纤,SH,week,qfq,4.130,4.290,4.000,4.250,4.140,0.110,2.66,7.00,104021,10402100,4316.60,43166000.00,1.73,tencent_newfqkline
2024-08-30,605006,山东玻纤,SH,week,qfq,4.250,4.260,3.910,4.070,4.250,-0.180,-4.24,8.24,144738,14473800,5840.86,58408600.00,2.41,tencent_newfqkline
2024-09-06,605006,山东玻纤,SH,week,qfq,4.090,4.270,4.020,4.270,4.070,0.200,4.91,6.14,105058,10505800,4359.53,43595300.00,1.76,tencent_newfqkline
2024-09-13,605006,山东玻纤,SH,week,qfq,4.250,4.480,4.090,4.130,4.270,-0.140,-3.28,9.13,183787,18378700,7885.22,78852200.00,3.06,tencent_newfqkline
2024-09-20,605006,山东玻纤,SH,week,qfq,4.070,4.250,4.050,4.240,4.130,0.110,2.66,4.84,67193,6719300,2798.48,27984800.00,1.12,tencent_newfqkline
2024-09-27,605006,山东玻纤,SH,week,qfq,4.240,4.600,4.140,4.600,4.240,0.360,8.49,10.85,124993,12499300,5447.27,54472700.00,2.09,tencent_newfqkline
2024-09-30,605006,山东玻纤,SH,week,qfq,4.730,5.000,4.610,4.940,4.600,0.340,7.39,8.48,121169,12116900,5868.37,58683700.00,2.02,tencent_newfqkline
