date,code,name,exchange,period,adjustment,open,high,low,close,pre_close,change,pct_change,amplitude_pct,volume_lot,volume_shares,amount_wan,amount_yuan,turnover_rate_pct,source
2024-05-31,605006,山东玻纤,SH,month,qfq,5.400,5.950,5.290,5.320,5.340,-0.020,-0.37,12.36,543240,54324000,30859.16,308591600.00,9.05,tencent_newfqkline
2024-06-28,605006,山东玻纤,SH,month,qfq,5.320,5.340,4.360,4.410,5.320,-0.910,-17.11,18.42,468639,46863900,22488.40,224884000.00,7.79,tencent_newfqkline
2024-07-31,605006,山东玻纤,SH,month,qfq,4.350,4.540,3.960,4.290,4.410,-0.120,-2.72,13.15,395754,39575400,16754.47,167544700.00,6.59,tencent_newfqkline
2024-08-30,605006,山东玻纤,SH,month,qfq,4.300,4.330,3.910,4.070,4.290,-0.220,-5.13,9.79,396519,39651900,16410.98,164109800.00,6.61,tencent_newfqkline
2024-09-30,605006,山东玻纤,SH,month,qfq,4.090,5.000,4.020,4.940,4.070,0.870,21.38,24.08,602200,60220000,26358.87,263588700.00,10.05,tencent_newfqkline
2024-10-31,605006,山东玻纤,SH,month,qfq,5.390,5.430,4.590,4.970,4.940,0.030,0.61,17.00,764130,76413000,37187.74,371877400.00,12.74,tencent_newfqkline
2024-11-29,605006,山东玻纤,SH,month,qfq,4.950,5.450,4.850,5.170,4.970,0.200,4.02,12.07,814263,81426300,41484.35,414843500.00,13.57,tencent_newfqkline
2024-12-31,605006,山东玻纤,SH,month,qfq,5.210,11.950,5.210,6.290,5.170,1.120,21.66,130.37,8418261,841826100,654354.42,6543544200.00,140.30,tencent_newfqkline
2025-01-27,605006,山东玻纤,SH,month,qfq,6.290,6.570,5.910,5.960,6.290,-0.330,-5.25,10.49,3444477,344447700,215481.99,2154819900.00,57.41,tencent_newfqkline
2025-02-28,605006,山东玻纤,SH,month,qfq,6.040,6.950,5.960,6.430,5.960,0.470,7.89,16.61,3224609,322460900,209258.31,2092583100.00,53.75,tencent_newfqkline
2025-03-31,605006,山东玻纤,SH,month,qfq,6.420,6.770,6.020,6.130,6.430,-0.300,-4.67,11.66,2324607,232460700,150870.01,1508700100.00,38.72,tencent_newfqkline
2025-04-30,605006,山东玻纤,SH,month,qfq,6.120,6.290,4.880,6.020,6.130,-0.110,-1.79,23.00,1747895,174789500,102413.03,1024130300.00,29.13,tencent_newfqkline
2025-05-30,605006,山东玻纤,SH,month,qfq,6.050,6.360,6.040,6.100,6.020,0.080,1.33,5.32,1061669,106166900,65732.75,657327500.00,17.69,tencent_newfqkline
2025-06-30,605006,山东玻纤,SH,month,qfq,6.080,7.980,6.060,6.720,6.100,0.620,10.16,31.48,5501208,550120800,383509.67,3835096700.00,91.67,tencent_newfqkline
2025-07-31,605006,山东玻纤,SH,month,qfq,6.690,9.550,6.680,7.390,6.720,0.670,9.97,42.71,9855892,985589200,794771.28,7947712800.00,164.26,tencent_newfqkline
2025-08-29,605006,山东玻纤,SH,month,qfq,7.370,9.000,7.210,8.410,7.390,1.020,13.80,24.22,5270060,527006000,437828.86,4378288600.00,87.83,tencent_newfqkline
2025-09-30,605006,山东玻纤,SH,month,qfq,8.250,8.950,7.460,7.750,8.410,-0.660,-7.85,17.72,4316137,431613700,355684.27,3556842700.00,71.92,tencent_newfqkline
2025-10-31,605006,山东玻纤,SH,month,qfq,7.780,8.300,7.400,7.880,7.750,0.130,1.68,11.61,1425940,142594000,110928.98,1109289800.00,23.77,tencent_newfqkline
2025-11-28,605006,山东玻纤,SH,month,qfq,7.690,7.920,7.080,7.370,7.880,-0.510,-6.47,10.66,1282278,128227800,97464.43,974644300.00,21.37,tencent_newfqkline
2025-12-31,605006,山东玻纤,SH,month,qfq,7.380,7.650,6.830,7.300,7.370,-0.070,-0.95,11.13,1405617,140561700,102508.92,1025089200.00,23.43,tencent_newfqkline
2026-01-30,605006,山东玻纤,SH,month,qfq,7.340,8.090,7.130,7.910,7.300,0.610,8.36,13.15,2602060,260206000,198251.80,1982518000.00,43.37,tencent_newfqkline
2026-02-27,605006,山东玻纤,SH,month,qfq,7.910,11.400,7.710,10.610,7.910,2.700,34.13,46.65,6017325,601732500,587487.64,5874876400.00,100.29,tencent_newfqkline
2026-03-31,605006,山东玻纤,SH,month,qfq,9.990,10.900,8.020,8.790,10.610,-1.820,-17.15,27.14,5896978,589697800,554442.96,5544429600.00,98.26,tencent_newfqkline
2026-04-30,605006,山东玻纤,SH,month,qfq,9.100,12.320,8.710,11.690,8.790,2.900,32.99,41.07,10249684,1024968400,1068260.85,10682608500.00,170.82,tencent_newfqkline
2026-05-21,605006,山东玻纤,SH,month,qfq,11.920,17.700,11.760,14.300,11.690,2.610,22.33,50.81,7286047,728604700,1081203.13,10812031300.00,121.41,tencent_newfqkline
