date,source,comment_source,content,mentioned_stocks,mentioned_sectors,value_reason,include_in_logic,note,time,platform,parent_type,parent_title,commenter,parent_id,parent_url,parent_cover,comment_id,comment_time,include_status,sentiment,action_note,value_score,is_selected
2026-05-18,yege,同花顺评论备份 14:24,帖子评论量备份：1029 条。帖子摘要：良信股份(002706)  好好好。好……好……好……真棒。,良信股份(002706),低压电器;AIDC,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2346265327; media=,,,,,,,,,,,,,,,
2026-05-18,yege,同花顺评论备份 08:58,帖子评论量备份：214 条。帖子摘要：怀着平淡的心情，等开盘，不要一惊一乍的。如果你是做波段的现在是机会很适合调仓换股，如果你是做短线的需要观望。等待情绪的拐点。不过我现在不建议做短线，市场风格已经不适合短线了。,,,同花顺帖子备份，需结合截图和评论热度人工复核。,待确认,post_id=2345761097; media=,,,,,,,,,,,,,,,
2026-05-18,wangduoyu,抖音评论 14:43,尾盘买入无锡振华，拿三到五天，,无锡振华(605319),,无锡振华(605319) 被提及 1 次，有效评论 1 条，来源 1 个，单视频线索，情绪 看多，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=7; reply=8; source_type=comment; yeren_signal_id=; parent_comment_text=,14:43,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,昆仑卫士,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641118915490693945,14:43,待确认,看多,自动映射到抖音视频评论池。,6.4,false
2026-05-18,wangduoyu,抖音评论 11:48,五洲新春拿住！,五洲新春(603667),,五洲新春(603667) 被提及 1 次，有效评论 1 条，来源 1 个，单视频线索，情绪 看多，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=4; reply=7; source_type=comment; yeren_signal_id=; parent_comment_text=,11:48,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,小脑斧,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641073591505437480,11:48,待确认,看多,自动映射到抖音视频评论池。,6.4,false
2026-05-18,wangduoyu,抖音评论 14:46,大普微去吧！让你吃肉,,,评论热度较高，但暂未自动识别到明确股票线索，保留人工复核。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=1; reply=7; source_type=comment; yeren_signal_id=; parent_comment_text=,14:46,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,三品蜗牛 （大雄）,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641119588129735461,14:46,待确认,中性,自动映射到抖音视频评论池。,6.2,false
2026-05-18,wangduoyu,抖音评论 14:00,再升科技[微笑]明天还有肉,再升科技(603601),,再升科技(603601) 被提及 3 次，有效评论 3 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=1; reply=6; source_type=comment; yeren_signal_id=; parent_comment_text=,14:00,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,橘子,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641107771240547081,14:00,待确认,中性,自动映射到抖音视频评论池。,8.0,false
2026-05-18,wangduoyu,抖音评论 11:53,深科技+信维通信  今天很开心[看],深科技(000021);信维通信(300136),消费电子;射频,深科技(000021) 被提及 8 次，有效评论 8 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。；信维通信(300136) 被提及 2 次，有效评论 2 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=4; reply=11; source_type=comment; yeren_signal_id=; parent_comment_text=,11:53,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,ifff~,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641074875452703537,11:53,待确认,中性,自动映射到抖音视频评论池。,9.6,false
2026-05-18,wangduoyu,抖音评论 11:54,贵州燃气明天继续板,贵州燃气(600903),,贵州燃气(600903) 被提及 6 次，有效评论 6 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=6; reply=5; source_type=comment; yeren_signal_id=; parent_comment_text=,11:54,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,🌈胆小鬼王,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641075165556605745,11:54,待确认,中性,自动映射到抖音视频评论池。,9.1,false
2026-05-18,wangduoyu,抖音评论 12:51,桂冠电力 赚了给我寄特产,桂冠电力(600236),,桂冠电力(600236) 被提及 1 次，有效评论 1 条，来源 1 个，单视频线索，情绪 中性，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=3; reply=2; source_type=comment; yeren_signal_id=; parent_comment_text=,12:51,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,🤐,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641089836828705585,12:51,待确认,中性,自动映射到抖音视频评论池。,6.4,false
2026-05-18,wangduoyu,抖音评论 11:47,深科技啊，周末就说了[看],深科技(000021),,深科技(000021) 被提及 8 次，有效评论 8 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=3; reply=11; source_type=comment; yeren_signal_id=; parent_comment_text=,11:47,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,y-🐳,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641073548128731953,11:47,待确认,中性,自动映射到抖音视频评论池。,9.6,false
2026-05-18,wangduoyu,抖音评论 12:01,粤传媒跌停[流泪][流泪][流泪],,,评论热度较高，但暂未自动识别到明确股票线索，保留人工复核。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=2; reply=7; source_type=comment; yeren_signal_id=; parent_comment_text=,12:01,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,为金折腰,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641077121268368185,12:01,待确认,中性,自动映射到抖音视频评论池。,6.2,false
2026-05-18,wangduoyu,抖音评论 14:35,江特电机的大哥呢，出来说两句啊,江特电机(002176),,江特电机(002176) 被提及 6 次，有效评论 6 条，来源 2 个，跨来源共振，情绪 看多，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=4; reply=2; source_type=comment; yeren_signal_id=; parent_comment_text=,14:35,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,阿伟,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641116841717367611,14:35,待确认,看多,自动映射到抖音视频评论池。,9.1,false
2026-05-18,wangduoyu,抖音评论 12:55,巨力索具真的太黑了[流泪][流泪]死死的相信那个大哥说拿到这个星期[流泪],巨力索具(002342),,巨力索具(002342) 被提及 3 次，有效评论 3 条，来源 2 个，跨来源共振，情绪 看多，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=2; reply=6; source_type=comment; yeren_signal_id=; parent_comment_text=,12:55,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,紫妍,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641090838508798757,12:55,待确认,看多,自动映射到抖音视频评论池。,8.0,false
2026-05-18,wangduoyu,抖音评论 12:27,贵州燃气还有两个板[看]我说的,贵州燃气(600903),,贵州燃气(600903) 被提及 6 次，有效评论 6 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=2; reply=1; source_type=comment; yeren_signal_id=; parent_comment_text=,12:27,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,静候佳音。,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641083874017510198,12:27,待确认,中性,自动映射到抖音视频评论池。,9.1,false
2026-05-18,wangduoyu,抖音评论 15:27,兴森科技,兴森科技(002436),,兴森科技(002436) 被提及 1 次，有效评论 1 条，来源 1 个，单视频线索，情绪 中性，当前判断：保留观察。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=0; reply=0; source_type=comment; yeren_signal_id=; parent_comment_text=,15:27,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,浮云☁,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641130246092440347,15:27,待确认,中性,自动映射到抖音视频评论池。,6.4,false
2026-05-18,wangduoyu,抖音评论 11:48,五月很难做吗 ？跟着长鑫走不就行了[泪奔],,,评论热度较高，但暂未自动识别到明确股票线索，保留人工复核。,待确认,video_id=7641072798412890021; video_url=https://www.douyin.com/video/7641072798412890021; creator=王多于-股之子; like=1; reply=8; source_type=comment; yeren_signal_id=; parent_comment_text=,11:48,抖音评论,video,五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,🌈小鹏,7641072798412890021,https://www.douyin.com/video/7641072798412890021,,7641073773701890873,11:48,待确认,中性,自动映射到抖音视频评论池。,6.2,false
