section,value,note
market_status,震荡，上涨家数约0，下跌家数约0,导入自 20260518_160538_market_review.json
main_sectors,电网设备、半导体、电力、玻璃玻纤,东方财富板块分时 trends2 重算收盘涨幅；clist 资金榜不可用时的降级同步
risk_level,低,导入自 20260518_160538_market_review.json
operation_tone,不追高，只等主线回踩承接；高位放量优先降风险。,导入自 20260518_160538_market_review.json
index_status,,导入自 20260518_160538_market_review.json
volume_change,沪深主要指数成交额合计约 0 亿，需结合昨日继续复核。,导入自 20260518_160538_market_review.json
index_money_flow_series,09:31=-0.83;09:36=-137.96;09:41=-166.68;09:46=-169.83;09:51=-176.01;09:56=-143.75;10:01=-138.44;10:06=-123.58;10:11=-131.48;10:16=-167.30;10:21=-174.40;10:26=-174.39;10:31=-166.63;10:36=-167.40;10:41=-167.86;10:46=-183.79;10:51=-183.97;10:56=-212.78;11:01=-251.39;11:06=-288.84;11:11=-289.30;11:16=-314.26;11:21=-339.17;11:26=-363.97;13:01=-374.21;13:06=-370.79;13:11=-355.13;13:16=-345.64;13:21=-352.03;13:26=-363.52;13:31=-363.75;13:36=-355.29;13:41=-338.40;13:46=-342.46;13:51=-350.50;13:56=-370.61;14:01=-422.77;14:06=-472.75;14:11=-509.21;14:16=-514.64;14:21=-522.40;14:26=-520.35;14:31=-532.08;14:36=-550.26;14:41=-548.38;14:46=-575.17;14:51=-583.85;14:56=-567.37;15:00=-562.02,东方财富逐分钟主力净流，单位：亿元；核心三指数合计
sector_rotation,电网设备、半导体、电力、玻璃玻纤,东方财富板块分时 trends2 重算收盘涨幅；clist 资金榜不可用时的降级同步
accumulation_direction,电网设备、半导体、电力、玻璃玻纤,东方财富板块分时 trends2 重算收盘涨幅；clist 资金榜不可用时的降级同步
sector_first_limit_up,,需人工补充每个板块最先封板的股票，格式：板块=股票(代码);板块=股票(代码)
capital_preference,主线优先看资金合力，弱分支不追高。,导入自 20260518_160538_market_review.json
sentiment_cycle,上涨/下跌约 0/0，情绪按结构性修复处理。,导入自 20260518_160538_market_review.json
risk_signal,高位放量、偏离均线过大的方向只做风险观察。,导入自 20260518_160538_market_review.json
tomorrow_watch,观察主线板块延续性、回踩承接和量能是否继续放大。,导入自 20260518_160538_market_review.json
