source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-06-17,抖音视频,2026-06-17 21:52:59 讲一个和我35岁女粉丝宝妈的故事#金融#财经#脱口秀科普 #故事与酒 #宝妈,https://www.douyin.com/video/7652362040857756751,,野哥抖音视频信号 868 条,,,讲一个和我35岁女粉丝宝妈的故事#金融#财经#脱口秀科普 #故事与酒 #宝妈,video_id=7652362040857756751; creator=全能的野人; comment_count=868; digg=2534; share=310; 来源备份 20260617_*_douyin_comment_picks.json
yege,2026-06-17,抖音视频,2026-06-17 19:06:29 6月17日三分钟解读今晚美联储议息 北京时间18日凌晨2点美联储会议沃什首秀发言，什么是降息什么是缩表#美联储议息会议 #沃什美联储首秀 #金融 #财经知识 #加息降息缩表,https://www.douyin.com/video/7652319126699313728,,野哥抖音视频信号 1068 条,,,6月17日三分钟解读今晚美联储议息 北京时间18日凌晨2点美联储会议沃什首秀发言，什么是降息什么是缩表#美联储议息会议 #沃什美联储首秀 #金融 #财经知识 #加息降息缩表,video_id=7652319126699313728; creator=全能的野人; comment_count=1068; digg=10087; share=1998; 来源备份 20260617_*_douyin_comment_picks.json
yege,2026-06-17,抖音视频,2026-06-17 18:18:00 6月17日闲聊预期#金融#财经#股票#分享我的金融思维 #pcb,https://www.douyin.com/video/7652261506797531124,,野哥抖音视频信号 1234 条,,,6月17日闲聊预期#金融#财经#股票#分享我的金融思维 #pcb,video_id=7652261506797531124; creator=全能的野人; comment_count=1234; digg=8933; share=503; 来源备份 20260617_*_douyin_comment_picks.json
yege,2026-06-17,抖音视频,2026-06-17 11:40:00 波段账户，AI应用有毒啊！ 6月17日中午#金融#财经#股票#股市#AI应用,https://www.douyin.com/video/7652204074099989731,,野哥抖音视频信号 7479 条,,,波段账户，AI应用有毒啊！ 6月17日中午#金融#财经#股票#股市#AI应用,video_id=7652204074099989731; creator=全能的野人; comment_count=7479; digg=16240; share=4627; 来源备份 20260617_*_douyin_comment_picks.json
