source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-06-07,抖音视频,2026-06-07 21:14:15 A股算力出新分支了算力预制算力中心底座#算力中心底座 #算力#金融#股票#全能的野人,https://www.douyin.com/video/7648641201634045888,,野哥抖音视频信号 1132 条,,,A股算力出新分支了算力预制算力中心底座#算力中心底座 #算力#金融#股票#全能的野人,video_id=7648641201634045888; creator=全能的野人; comment_count=1132; digg=7705; share=1062; 来源备份 20260607_*_douyin_comment_picks.json
yege,2026-06-07,抖音视频,2026-06-07 18:28:00 6月7日普及什么是物理AI和AIpc#物理AI#AIpc #AI应用#财经#股市,https://www.douyin.com/video/7648511069313672948,,野哥抖音视频信号 1223 条,,,6月7日普及什么是物理AI和AIpc#物理AI#AIpc #AI应用#财经#股市,video_id=7648511069313672948; creator=全能的野人; comment_count=1223; digg=9014; share=702; 来源备份 20260607_*_douyin_comment_picks.json
yege,2026-06-07,抖音视频,2026-06-07 10:51:27 6月7号复盘周末消息和预期#金融#财经#股票#股市#吴清最新发声,https://www.douyin.com/video/7648480711213768163,,野哥抖音视频信号 1925 条,,,6月7号复盘周末消息和预期#金融#财经#股票#股市#吴清最新发声,video_id=7648480711213768163; creator=全能的野人; comment_count=1925; digg=19055; share=1971; 来源备份 20260607_*_douyin_comment_picks.json
