source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-05-29,同花顺帖子,2026-05-29 14:54 利通电子(603629),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dofe1lm0ezbp298633bce,,利通电子(603629) 今天感觉卡不住了，整个市场就你红。其他资金也会眼红你的。肯定把你买进去，这就是人性。引导资金今天看看能不能再创辉煌。,利通电子(603629),交易动作;个股相关,利通电子(603629)  今天感觉卡不住了，整个市场就你红。其他资金也会眼红你的。肯定把你买进去，这就是人性。引导资金今天看看能不能再创辉煌。,优先级 P1; 点赞 275; 评论 323; 转发 4; 本地截图 0 张
yege,2026-05-29,同花顺帖子,2026-05-29 11:11 利通电子(603629),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1do55sc3bnj20m6da09fb6,,利通电子(603629) 这个不会走成十倍妖股吧！,利通电子(603629),个股相关,利通电子(603629)  这个不会走成十倍妖股吧！,优先级 P2; 点赞 70; 评论 0; 转发 0; 本地截图 0 张
yege,2026-05-29,同花顺帖子,2026-05-29 09:51 野哥同花顺动态,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dnydyh8cozks6c9216472,,赶紧收盘，放假吧！我不想开盘了。我只想睡觉。,,,赶紧收盘，放假吧！我不想开盘了。我只想睡觉。,优先级 P3; 点赞 1131; 评论 629; 转发 12; 本地截图 0 张
