source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-05-26,同花顺帖子,2026-05-26 14:52 野哥同花顺动态,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dmelwo28377cm92e926e1,/media/2026-05-26/yege/daily_01_1452_2351297742.jpg,一动就是反t。所以根本不能动。,,含图片/截图核对,一动就是反t。所以根本不能动。,优先级 P1; 点赞 193; 评论 83; 转发 0; 本地截图 1 张
yege,2026-05-26,同花顺帖子,2026-05-26 14:27 野哥同花顺动态,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dmd3x8yjzqjg6f8524f12,/media/2026-05-26/yege/daily_02_1427_2351242916.jpg,给你们看看什么是波段，什么是心无旁骛，什么是干净的交易，老粉应该都记得这个中京我什么时候进的吧！,,含图片/截图核对,给你们看看什么是波段，什么是心无旁骛，什么是干净的交易，老粉应该都记得这个中京我什么时候进的吧！,优先级 P3; 点赞 1003; 评论 468; 转发 15; 本地截图 1 张
yege,2026-05-26,同花顺帖子,2026-05-26 13:40 雄韬股份(002733),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dma8szilcu6eu7c4b6104,,雄韬股份(002733) 昨天早信的人，今天可以赚钱回家买床单了。迟信的人今天就是抬轿子的。,雄韬股份(002733),交易动作;个股相关,雄韬股份(002733)  昨天早信的人，今天可以赚钱回家买床单了。迟信的人今天就是抬轿子的。,优先级 P1; 点赞 417; 评论 319; 转发 3; 本地截图 0 张
yege,2026-05-26,同花顺帖子,2026-05-26 13:25 德赛西威(002920),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dm9dxxn40nbw684f639d8,,德赛西威(002920) 明天五日线就上穿所有均线了。,德赛西威(002920),个股相关;野哥同花顺逻辑,德赛西威(002920)  明天五日线就上穿所有均线了。,优先级 P2; 点赞 258; 评论 133; 转发 4; 本地截图 0 张
yege,2026-05-26,同花顺帖子,2026-05-26 13:24 国盾量子(688027),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dm9b15icgtat25462dcdf,,国盾量子(688027) 量子科技的，龙头。半年不看k线那种。,国盾量子(688027),个股相关;野哥同花顺逻辑,国盾量子(688027)  量子科技的，龙头。半年不看k线那种。,优先级 P2; 点赞 176; 评论 55; 转发 0; 本地截图 0 张
