source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-05-17,同花顺帖子,2026-05-17 20:56 合肥城建(002208),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di6994rkoe41if6bdf18a,,合肥城建(002208) 这个我三月中旬说的波段。几个星期漫长的震仓阶段我估计很多人拿不住。我说过散户震仓的时候99%都拿不住。现在因为长鑫存储又上热门第一了。明天的预期就是要不你买不进，要不就是个坑。明天不走加速就是不符合预期。所以波段最难熬的就是震仓阶段。,合肥城建(002208),,合肥城建(002208)  这个我三月中旬说的波段。几个星期漫长的震仓阶段我估计很多人拿不住。我说过散户震仓的时候99%都拿不住。现在因为长鑫存储又上热门第一了。明天的预期就是要不你买不进，要不就是个坑。明天不走加速就是不符合预期。所以波段最难熬的就是震仓阶段。,优先级 ; 点赞 259; 评论 252; 转发 19; 本地截图 0 张
yege,2026-05-17,同花顺帖子,2026-05-17 18:52 飞龙股份(002536),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di5zv6hnsg7w6e8843e39,,飞龙股份(002536) 等等 20日线或者十日线，调整差不多了。,飞龙股份(002536),,飞龙股份(002536)  等等 20日线或者十日线，调整差不多了。,优先级 ; 点赞 259; 评论 89; 转发 5; 本地截图 0 张
yege,2026-05-17,同花顺帖子,2026-05-17 18:51 英维克(002837),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di5zsceif05py6f99158b,,英维克(002837) 调整也差不多了。最近最好别玩小市值的。短线已经慢慢被市场淘汰了。都在转趋势了。以前的情绪周期已经失效了。我也跟着市场进步在进步。,英维克(002837),,英维克(002837)  调整也差不多了。最近最好别玩小市值的。短线已经慢慢被市场淘汰了。都在转趋势了。以前的情绪周期已经失效了。我也跟着市场进步在进步。,优先级 ; 点赞 275; 评论 58; 转发 11; 本地截图 0 张
yege,2026-05-17,同花顺帖子,2026-05-17 18:38 利通电子(603629),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di5yvg6s312463545c0c7,,利通电子(603629) 调整差不多了。算力租赁老大差不多要发力了。,利通电子(603629),,利通电子(603629)  调整差不多了。算力租赁老大差不多要发力了。,优先级 ; 点赞 229; 评论 194; 转发 4; 本地截图 0 张
yege,2026-05-17,同花顺帖子,2026-05-17 18:31 中科曙光(603019),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di5yheushgyk6faad0131,,中科曙光(603019) 这个也是算力的核心。还是那句话，缺口做防守。补缺就是弱，不补就是强。,中科曙光(603019),,中科曙光(603019)  这个也是算力的核心。还是那句话，缺口做防守。补缺就是弱，不补就是强。,优先级 ; 点赞 185; 评论 47; 转发 3; 本地截图 0 张
yege,2026-05-17,同花顺帖子,2026-05-17 13:32 准油股份(002207),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di5jq8le7lek6b7b3f0c0,,ST洲际(600759) *ST准油(002207) *ST闻泰(600745) 这种情况散户很难避免，但是一个在天上一个在地下。很难理解。呼吁监管部门应该加强赔付机制。保护投资者的合法权益。,准油股份(002207),,ST洲际(600759)  *ST准油(002207)  *ST闻泰(600745)  这种情况散户很难避免，但是一个在天上一个在地下。很难理解。呼吁监管部门应该加强赔付机制。保护投资者的合法权益。,优先级 ; 点赞 587; 评论 170; 转发 16; 本地截图 0 张
yege,2026-05-17,同花顺帖子,2026-05-17 11:26 普丽盛(300442),https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di5e5n6iup6nqf8c38cb2,,润泽科技(300442) XD宝信软(600845) 光环新网(300383) 人气怎么突然又高了。又出啥利好消息啦！我只认资金。这几天资金进了跟就行了。我不认消息。不过算力租赁和aidc都是一直会有消息刺激的。并且国内有算力集群的公司不多。能做算力集成网的就那么几家，未来发展不可估量。,普丽盛(300442),AIDC;数据中心,润泽科技(300442) XD宝信软(600845)   光环新网(300383)   人气怎么突然又高了。又出啥利好消息啦！我只认资金。这几天资金进了跟就行了。我不认消息。不过算力租赁和aidc都是一直会有消息刺激的。并且国内有算力集群的公司不多。能做算力集成网的就那么几家，未来发展不可估量。,优先级 ; 点赞 355; 评论 183; 转发 25; 本地截图 0 张
