source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-06-15,抖音视频,2026-06-15 22:30:05 录歌时间到#金融#唱歌#股市#股票#股民交流,https://www.douyin.com/video/7651629429055087976,,野哥抖音视频信号 690 条,,,录歌时间到#金融#唱歌#股市#股票#股民交流,video_id=7651629429055087976; creator=全能的野人; comment_count=690; digg=3416; share=364; 来源备份 20260615_*_douyin_comment_picks.json
yege,2026-06-15,抖音视频,2026-06-15 19:08:00 6月15 分享我用的几种低吸方法和用法#低吸战法 #金融#财经#股票#股票,https://www.douyin.com/video/7651291826666420963,,野哥抖音视频信号 1213 条,,,6月15 分享我用的几种低吸方法和用法#低吸战法 #金融#财经#股票#股票,video_id=7651291826666420963; creator=全能的野人; comment_count=1213; digg=21276; share=3394; 来源备份 20260615_*_douyin_comment_picks.json
yege,2026-06-15,抖音视频,2026-06-15 15:16:26 6月15日闲聊预期#A股#金融#财经#股市#股票,https://www.douyin.com/video/7651517676472663631,,野哥抖音视频信号 1962 条,,,6月15日闲聊预期#A股#金融#财经#股市#股票,video_id=7651517676472663631; creator=全能的野人; comment_count=1962; digg=12128; share=1108; 来源备份 20260615_*_douyin_comment_picks.json
yege,2026-06-15,抖音视频,2026-06-15 11:33:38 我这点利润能不能坚持到下午三点#金融#财经#股票#股市#股民,https://www.douyin.com/video/7651460260766773903,,野哥抖音视频信号 1389 条,,,我这点利润能不能坚持到下午三点#金融#财经#股票#股市#股民,video_id=7651460260766773903; creator=全能的野人; comment_count=1389; digg=8865; share=291; 来源备份 20260615_*_douyin_comment_picks.json
