source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-07-01,抖音视频,2026-07-01 23:25:36 7月1日晚上 加更一条视频#美股#金融#财经#股票#股市,https://www.douyin.com/video/7657581093046896803,,野哥抖音视频信号 237 条,,,7月1日晚上 加更一条视频#美股#金融#财经#股票#股市,video_id=7657581093046896803; creator=全能的野人; comment_count=237; digg=1252; share=164; 来源备份 20260701_*_douyin_comment_picks.json
yege,2026-07-01,抖音视频,2026-07-01 18:36:07 7月1日送一句话给你们干货#金融#财经#股市#股票#分享我的历史学习经验,https://www.douyin.com/video/7657506492748903528,,野哥抖音视频信号 1152 条,,,7月1日送一句话给你们干货#金融#财经#股市#股票#分享我的历史学习经验,video_id=7657506492748903528; creator=全能的野人; comment_count=1152; digg=9488; share=953; 来源备份 20260701_*_douyin_comment_picks.json
yege,2026-07-01,抖音视频,2026-07-01 16:00:54 高位对子又出现了#金融#财经#股票#股市#股民,https://www.douyin.com/video/7657466497607403682,,野哥抖音视频信号 2148 条,,,高位对子又出现了#金融#财经#股票#股市#股民,video_id=7657466497607403682; creator=全能的野人; comment_count=2148; digg=17000; share=8010; 来源备份 20260701_*_douyin_comment_picks.json
yege,2026-07-01,抖音视频,2026-07-01 15:20:57 7月1日开门红闲聊预期#金融#财经#股票#股市#股民,https://www.douyin.com/video/7657456204068029347,,野哥抖音视频信号 1076 条,,,7月1日开门红闲聊预期#金融#财经#股票#股市#股民,video_id=7657456204068029347; creator=全能的野人; comment_count=1076; digg=7805; share=435; 来源备份 20260701_*_douyin_comment_picks.json
yege,2026-07-01,抖音视频,2026-07-01 10:58:52 7月1日开门红#股市#股票#大金融 #股民#财经,https://www.douyin.com/video/7657388664808494708,,野哥抖音视频信号 1591 条,,,7月1日开门红#股市#股票#大金融 #股民#财经,video_id=7657388664808494708; creator=全能的野人; comment_count=1591; digg=9132; share=439; 来源备份 20260701_*_douyin_comment_picks.json
