source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-06-11,抖音视频,2026-06-11 23:16:09 如果卖了起飞了，那也是我得错。看球#世界杯#金融#财经#股市#股民,https://www.douyin.com/video/7650156951682215139,,野哥抖音视频信号 436 条,,,如果卖了起飞了，那也是我得错。看球#世界杯#金融#财经#股市#股民,video_id=7650156951682215139; creator=全能的野人; comment_count=436; digg=1537; share=34; 来源备份 20260611_*_douyin_comment_picks.json
yege,2026-06-11,抖音视频,2026-06-11 21:32:03 6月11日我又火了。金融#财经#交易#短线交易 #股票 #股民,https://www.douyin.com/video/7650130131151184500,,野哥抖音视频信号 702 条,,,6月11日我又火了。金融#财经#交易#短线交易 #股票 #股民,video_id=7650130131151184500; creator=全能的野人; comment_count=702; digg=3722; share=197; 来源备份 20260611_*_douyin_comment_picks.json
