source,date,channel,title,url,image,summary,mentioned_stocks,mentioned_sectors,raw_text,note
yege,2026-06-22,抖音视频,2026-06-22 19:01:16 6月22日闲聊预期#金融#财经#股票#股市#老登,https://www.douyin.com/video/7654173210963256768,,野哥抖音视频信号 1129 条,,,6月22日闲聊预期#金融#财经#股票#股市#老登,video_id=7654173210963256768; creator=全能的野人; comment_count=1129; digg=10912; share=949; 来源备份 20260622_*_douyin_comment_picks.json
yege,2026-06-22,抖音视频,2026-06-22 16:48:36 三分钟解读什么是大金融板块 只说逻辑行情#金融#财经#股票#股市#股票知识,https://www.douyin.com/video/7654139024580553315,,野哥抖音视频信号 410 条,,,三分钟解读什么是大金融板块 只说逻辑行情#金融#财经#股票#股市#股票知识,video_id=7654139024580553315; creator=全能的野人; comment_count=410; digg=4485; share=402; 来源备份 20260622_*_douyin_comment_picks.json
yege,2026-06-22,抖音视频,2026-06-22 14:11:25 完了呀！我也要吸了#金融#财经#股市#股票#证券,https://www.douyin.com/video/7654098518633906920,,野哥抖音视频信号 1301 条,,,完了呀！我也要吸了#金融#财经#股市#股票#证券,video_id=7654098518633906920; creator=全能的野人; comment_count=1301; digg=9824; share=739; 来源备份 20260622_*_douyin_comment_picks.json
